query,processed_query,retrieved_pairs,expected_docs,retrieval_hit,answer
What is the travel reimbursement policy?,What is the travel reimbursement policy?,finance/travel_reimbursement_policy | finance/meal_allowance_policy | finance/expense_policy,finance/travel_reimbursement_policy,1,"The Travel Reimbursement Policy (Version 1.2) defines reimbursable business travel expenses and the process for claiming them. It applies to employees who travel on approved company business. 

Eligible expenses for reimbursement include:
- Economy airfare
- Train tickets
- Local transportation
- Hotel accommodation
- Meals, all within approved daily limits

Specific details include:
- Meal expenses are reimbursable, capped at 800 INR per day for domestic travel, unless pre-approved for a higher limit.
- All travel must be approved in advance by the reporting manager and, where applicable, the budget owner.
- Claims must be submitted within 15 calendar days of trip completion through the expense system with itemised receipts.

Exceptions to the policy require written approval from the department head and Finance. Ride-sharing services are reimbursable when used for local travel during an approved trip and supported by receipts."
"Are meal expenses reimbursable, and what is the daily limit?","Are meal expenses reimbursable, and what is the daily limit?",finance/travel_reimbursement_policy | finance/meal_allowance_policy | finance/expense_policy,finance/travel_reimbursement_policy | finance/meal_allowance_policy,1,"Yes, meal expenses are reimbursable. For domestic travel, the daily limit is 800 INR per day, excluding alcohol. For international travel, meal limits are defined by destination and published annually by Finance."
What is the leave approval process?,What is the leave approval process?,hr/leave_policy | finance/travel_reimbursement_policy | it/access_control_policy,hr/leave_policy,1,The leave approval process is as follows: All planned leave requests must be submitted through the HR portal and approved by the reporting manager before the leave start date. Unplanned emergency leave should be notified to the manager as soon as reasonably possible.
How many days of annual leave do employees accrue per year?,How many days of annual leave do employees accrue per year?,hr/leave_policy | finance/travel_reimbursement_policy | hr/employee_handbook,hr/leave_policy,1,Employees accrue 20 days of paid annual leave per calendar year.
What is considered late arrival under the attendance policy?,What is considered late arrival under the attendance policy?,hr/attendance_policy | compliance/privacy_policy | hr/leave_policy,hr/attendance_policy,1,"According to the Attendance and Punctuality Policy, arrivals more than 15 minutes after the scheduled start time are considered late, unless pre-approved."
Is remote work allowed by the company?,Is remote work allowed by the company?,hr/employee_handbook | hr/attendance_policy | compliance/acceptable_use_policy,hr/employee_handbook,1,"According to the Employee Handbook, remote work is allowed based on team policy and manager approval."
What is the principle of least privilege in access control?,What is the principle of least privilege in access control?,it/access_control_policy | hr/leave_policy | engineering/device_usage_policy,it/access_control_policy,1,The principle of least privilege in access control is that access is granted based on job role and reviewed at least annually.
Is multi-factor authentication mandatory for source code repositories?,Is multi-factor authentication mandatory for source code repositories?,it/password_and_mfa_policy | engineering/secure_development_policy | it/software_installation_policy,it/password_and_mfa_policy,1,"Yes, according to the Password and MFA Policy, Version 1.0, multi-factor authentication (MFA) is mandatory for source code repositories."
How long are HR records retained after employment ends?,How long are HR records retained after employment ends?,compliance/data_retention_policy | compliance/privacy_policy | hr/leave_policy,compliance/data_retention_policy,1,"HR records are retained for 7 years after employment ends, unless local law requires longer."
How should employees report a security incident?,How should employees report a security incident?,compliance/incident_reporting_policy | hr/employee_handbook | compliance/privacy_policy,compliance/incident_reporting_policy,1,"According to the Incident Reporting Policy, employees should report security and compliance incidents via the incident hotline or security portal within 24 hours of discovery."
What are examples of prohibited activities under the acceptable use policy?,What are examples of prohibited activities under the acceptable use policy?,compliance/acceptable_use_policy | engineering/device_usage_policy | finance/expense_policy,compliance/acceptable_use_policy,1,"Under the Acceptable Use Policy, examples of prohibited activities include using company systems for illegal activities, hate speech, or harassment."
Can employees install any software they like on company laptops?,Can employees install any software they like on company laptops?,it/software_installation_policy | hr/performance_review_policy | engineering/device_usage_policy,it/software_installation_policy,1,"No, employees may only install software from the approved catalog or with IT approval, according to the Software Installation Policy."
What is the CEO's home address?,What is the CEO's home address?,compliance/privacy_policy | hr/leave_policy | compliance/incident_reporting_policy,,0,"I do not have enough information to answer that question. The provided policy context does not contain information about the CEO's home address or any other employee's personal contact information. The Employee Data Privacy Policy explains how the company collects, uses, and protects employee personal data, but it does not provide specific personal data."
What will the company's stock price be next year?,What will the company's stock price be next year?,hr/leave_policy | engineering/secure_development_policy | it/software_installation_policy,,0,I do not have enough information to answer the question about the company's stock price next year. The provided policy context does not contain any information related to the company's stock price or financial performance.
Who will win the next national election?,Who will win the next national election?,finance/travel_reimbursement_policy | hr/leave_policy | finance/procurement_policy,,0,I do not have enough information to answer this question. The provided policy context does not contain any information related to national elections or predictions about their outcomes.
What is Charmesh's salary?,What is Charmesh's salary?,compliance/privacy_policy | it/access_control_policy | compliance/acceptable_use_policy,,0,I do not have enough information.
What is the refund policy for customer purchases?,What is the refund policy for customer purchases?,finance/expense_policy | finance/travel_reimbursement_policy | hr/employee_handbook,,0,"I do not have enough information to answer the question about the refund policy for customer purchases. The provided policy context only discusses company expenses, travel reimbursement, and employee handbook policies, but does not mention customer purchases or refunds."
What is the cafeteria menu for tomorrow?,What is the cafeteria menu for tomorrow?,hr/leave_policy | finance/meal_allowance_policy | finance/travel_reimbursement_policy,,0,I do not have enough information to answer your question about the cafeteria menu for tomorrow. The provided policy context does not include information about cafeteria menus.
What was the company's revenue last year?,What was the company's revenue last year?,hr/employee_handbook | finance/expense_policy | finance/travel_reimbursement_policy,,0,I do not have enough information to answer the question about the company's revenue last year. The provided policy context does not contain financial data or revenue information.
What is the dress code for customers visiting our stores?,What is the dress code for customers visiting our stores?,it/password_and_mfa_policy | engineering/secure_development_policy | finance/meal_allowance_policy,,0,"I do not have enough information to answer the question about the dress code for customers visiting stores, as the provided policy context does not mention dress code policies."
